# rule key	home (file#anchor). One row per rule; held by scripts/check-rules.sh (criterion 1). Generation: rule heading → anchor.
Role table	docs/roles.md#roles-table
Conflicts of interest: author ≠ verifier	docs/roles.md#author-not-verifier
Role limit: a stage executor does not rebuild the pipeline	docs/roles.md#role-limit
Start order — the parent in `backlog`	docs/pipeline.md#start-order
First action on any wakeup — `multica issue children`	docs/pipeline.md#children-first
First stage of a new repository — bootstrap	docs/pipeline.md#bootstrap
A stage barrier closes only on terminal statuses	docs/pipeline.md#barrier-terminal
What to do at every barrier	docs/pipeline.md#barrier-procedure
The code / mechanics stage barrier — green CI on the PR head	docs/pipeline.md#code-barrier
The round synthesis stage — separate, when the panel worked and the Reviewer died	docs/pipeline.md#synthesis-stage
A stage closed through `cancelled` without an explanation is not promoted	docs/pipeline.md#cancelled-needs-reason
Hand-off record for a stage and executor reconciliation	docs/pipeline.md#handoff-record
Sequential acceptance: raise the next card only after the owner's `done`	docs/pipeline.md#next-card-on-in-review
One review round = one sub-issue	docs/pipeline.md#one-round-one-subtask
Every sub-issue is self-sufficient	docs/pipeline.md#self-sufficient-body
Stage bodies are assembled from templates	docs/pipeline.md#body-from-template
The specification goes to audit BEFORE the executor	docs/pipeline.md#spec-audit-first
The round envelope — in the audit stage body BEFORE promotion	docs/pipeline.md#audit-envelope
A backup executor in the body of every code stage	docs/pipeline.md#backup-executor
Composition of the code stage body	docs/pipeline.md#code-stage-body
No subagents on the code stage	docs/pipeline.md#no-subagents
Verify mutations by running, not by prediction	docs/pipeline.md#mutation-by-run
The code stage report — five sections	docs/pipeline.md#builder-report
Resuming work — only by mentioning the executor	docs/pipeline.md#resume-by-mention
A mention = a new run; mention only when a run is needed	docs/pipeline.md#mention-policy
One writing agent per tree	docs/pipeline.md#one-writer
Merge and report	docs/pipeline.md#merge-and-report
The specification rides in the commit	docs/pipeline.md#spec-in-commit
PR ↔ card link — the slug in the PR title; the card before the title	docs/pipeline.md#pr-slug
The card comment — the same action as the owner report	docs/pipeline.md#comment-with-report
Intent lives in git, state — in the tracker	docs/pipeline.md#intent-in-git
Parent metadata keys	docs/pipeline.md#metadata-keys
The score line — the first line of the Reviewer report, checked character by character	docs/review-cycle.md#score-line
The cycle closes only when two conditions hold at once	docs/review-cycle.md#closure
The findings registry — a card under the parent	docs/review-cycle.md#registry
Exception codes — exactly three, there are no others	docs/review-cycle.md#exception-codes
Circuit breaker: three rounds without convergence — stop and the owner	docs/review-cycle.md#fuse
Zero findings ≠ a clean result on a dead run	docs/review-cycle.md#dead-run-zero
The closure comment lists the excepted rows	docs/review-cycle.md#closure-comment
The audit subject — the whole diff, including text	docs/review-cycle.md#audit-subject
Every round finds its own layer; give the reviewer the intent; reproduce a finding before fixing	docs/review-cycle.md#round-layers
An (agent, question) pair does not repeat two rounds in a row	docs/review-cycle.md#panel
One representative of a model family per round; the run table	docs/review-cycle.md#one-per-family
Scorecard — a row per run, the round closure gate	docs/review-cycle.md#scorecard
The run model — only from `multica runtime usage`	docs/review-cycle.md#model-from-usage
The class is set before the promotion of stage 1	docs/impact-class.md#classify-first
`hygiene` — one round each, no cycle until convergence	docs/impact-class.md#hygiene
Limits table per class	docs/impact-class.md#limits-table
`money`: in the first round the Reviewer must include the Architecture Auditor	docs/impact-class.md#money-arch-auditor
`done` on the parent — the owner only	docs/ownership.md#parent-done
Scope change — the owner	docs/ownership.md#scope-change
`accepted-risk` and `spun-out` — the owner decision	docs/ownership.md#exceptions-are-owner
Impact class in doubt — a question to the owner before stage 1	docs/ownership.md#class-doubt
Two PRs for one defect — a technical verdict, not merging both	docs/ownership.md#two-prs
Escalation to the owner instead of curing with briefs	docs/ownership.md#escalation
What not to do	docs/ownership.md#do-not
Owner report: result, cost, question	docs/ownership.md#owner-report
layer 1: A status change does not raise a run; only a mention does	skills/agent-runtime-gotchas/SKILL.md#mention-is-run
layer 1: `in_review` does not close the stage barrier	skills/agent-runtime-gotchas/SKILL.md#in-review-not-terminal
layer 1: A parent created not in `backlog` starts a second PM run	skills/agent-runtime-gotchas/SKILL.md#parent-backlog-first
layer 1: The "→ done" line in the sub-issue body	skills/agent-runtime-gotchas/SKILL.md#done-line-in-body
layer 1: `done` is terminal and emits no events	skills/agent-runtime-gotchas/SKILL.md#done-is-silent
layer 1: After `blocked` neither `todo` nor `backlog → todo` creates a task	skills/agent-runtime-gotchas/SKILL.md#rerun-after-promote
layer 1: `cancelled` and unassigning the executor do not stop the run	skills/agent-runtime-gotchas/SKILL.md#cancel-does-not-stop
layer 1: The barrier triggers on statuses, not on the presence of a report	skills/agent-runtime-gotchas/SKILL.md#barrier-by-status
layer 1: The run model is not stored in the task and is undeterminable from inside	skills/agent-runtime-gotchas/SKILL.md#model-not-in-task
layer 1: `multica skill update` overwrites without versions or rollback	skills/agent-runtime-gotchas/SKILL.md#skill-no-versions
layer 1: `daemon restarted while task was in flight` — the platform restarts on its own	skills/agent-runtime-gotchas/SKILL.md#daemon-restart-retry
layer 1: `2>&1` when parsing `--output json` makes a successful write look like a failure	skills/agent-runtime-gotchas/SKILL.md#json-no-stderr-merge
layer 1: A long-lived `multica` process is the workspace daemon	skills/agent-runtime-gotchas/SKILL.md#never-kill-multica-by-name
